order_id,customer_id,product_id,quantity,sale_date,payment_method
1,167,26,4,2025-04-04,UPI
2,153,7,9,2025-01-23,Cash
3,183,7,9,2025-10-21,Credit Card
4,109,19,8,2024-07-07,Credit Card
5,447,43,6,2025-11-15,UPI
6,443,33,9,2026-02-07,Debit Card
7,121,11,2,2026-02-19,Debit Card
8,135,12,9,2024-03-13,Cash
9,334,33,4,2024-03-09,Debit Card
10,19,27,6,2025-12-09,Debit Card
11,173,33,1,2024-04-03,Net Banking
12,36,2,1,2024-03-23,Cash
13,260,37,7,2026-02-20,Net Banking
14,337,32,3,2025-12-19,UPI
15,269,31,8,2024-11-23,Debit Card
16,81,36,8,2024-04-13,Debit Card
17,66,11,2,2024-06-04,Credit Card
18,418,50,1,2024-11-19,Cash
19,49,15,7,2025-02-23,UPI
20,253,46,1,2026-01-15,Cash
21,422,41,1,2024-10-19,Cash
22,154,29,3,2024-09-18,Debit Card
23,300,42,1,2025-12-02,Net Banking
24,362,42,7,2024-12-15,Net Banking
25,457,11,3,2025-03-21,Net Banking
26,186,28,5,2025-09-08,Debit Card
27,239,15,4,2024-04-20,Net Banking
28,69,26,4,2026-02-06,Cash
29,394,21,3,2025-10-06,Debit Card
30,409,14,2,2025-04-15,Credit Card
31,9,49,1,2024-09-24,UPI
32,285,22,7,2025-02-05,Net Banking
33,482,7,5,2025-05-10,Net Banking
34,293,17,4,2025-08-29,Credit Card
35,492,29,5,2024-05-10,Cash
36,66,14,9,2024-08-16,Debit Card
37,63,13,2,2026-01-19,UPI
38,212,33,6,2024-11-13,Cash
39,410,44,5,2025-12-28,Credit Card
40,11,8,10,2026-02-28,Cash
41,70,22,2,2024-11-24,Debit Card
42,50,8,4,2024-05-22,UPI
43,311,23,7,2025-09-20,Credit Card
44,96,15,10,2025-12-26,Credit Card
45,379,42,9,2025-07-20,Credit Card
46,237,25,10,2024-07-30,UPI
47,68,9,9,2024-12-20,Credit Card
48,423,47,2,2024-07-05,Debit Card
49,149,18,2,2025-04-11,Net Banking
50,304,15,7,2024-08-03,Debit Card
51,265,11,10,2026-01-24,Credit Card
52,62,8,10,2024-10-27,Debit Card
53,216,19,6,2025-12-24,Credit Card
