order_id,customer_id,product_id,quantity,sale_date,payment_method
1,240,20,4,2024-08-30,Debit Card
2,304,37,10,2024-05-02,Net Banking
3,25,22,7,2024-12-26,Credit Card
4,38,15,3,2025-11-27,Debit Card
5,120,9,4,2025-10-10,Debit Card
6,443,12,8,2025-08-08,Cash
7,135,4,1,2025-04-22,Credit Card
8,6,33,1,2025-04-13,Credit Card
9,468,15,9,2026-01-01,Cash
10,320,23,7,2025-12-05,Cash
11,487,49,4,2024-09-24,Cash
12,92,50,4,2024-08-19,Cash
13,45,23,3,2025-05-01,Net Banking
14,151,1,4,2025-02-11,Debit Card
15,332,34,2,2024-12-01,Cash
16,490,36,3,2024-12-09,Cash
17,90,22,1,2025-10-04,Credit Card
18,46,25,10,2025-10-08,UPI
19,355,38,10,2024-09-21,Debit Card
20,242,5,2,2026-02-11,Credit Card
21,24,1,4,2025-12-20,Cash
22,128,24,2,2024-07-20,Credit Card
23,201,24,10,2024-12-18,Net Banking
24,84,18,6,2025-10-04,Credit Card
25,45,34,8,2024-10-22,Credit Card
26,66,34,10,2025-07-17,Debit Card
27,272,44,7,2025-01-28,Debit Card
28,75,49,7,2024-10-22,Cash
29,480,44,1,2025-06-25,Cash
30,95,14,3,2025-05-19,Credit Card
31,279,20,9,2025-04-19,Debit Card
32,259,9,8,2025-08-30,Net Banking
33,41,46,4,2025-07-12,UPI
34,14,48,7,2025-07-18,Credit Card
35,197,42,9,2025-04-09,Debit Card
36,11,24,5,2025-07-07,Net Banking
37,118,5,3,2025-04-06,Cash
38,269,15,3,2024-12-08,UPI
39,84,25,5,2024-05-07,UPI
40,119,6,4,2025-08-12,Debit Card
41,169,8,6,2024-10-31,Debit Card
42,454,36,3,2024-10-17,UPI
43,145,38,6,2025-03-06,Cash
44,86,9,3,2026-03-03,Debit Card
45,211,27,1,2025-12-30,Debit Card
46,282,14,4,2025-10-17,Net Banking
47,152,21,8,2025-10-19,Credit Card
48,381,40,3,2025-07-12,Net Banking
49,456,27,6,2026-01-23,UPI
50,129,26,9,2025-12-28,Debit Card
51,448,20,3,2024-10-14,Debit Card
52,184,26,5,2024-06-02,Net Banking
53,20,2,1,2026-01-29,Cash
54,455,12,9,2024-12-28,Debit Card
55,171,20,7,2025-11-27,UPI
56,412,12,6,2025-04-05,Net Banking
57,84,19,3,2024-08-18,Credit Card
58,235,45,8,2025-06-26,Net Banking
59,71,19,1,2024-10-09,UPI
60,124,46,4,2025-05-02,Net Banking
61,14,29,10,2025-09-19,Net Banking
62,266,3,1,2025-11-03,Cash
63,181,11,6,2024-10-10,Credit Card
64,408,50,9,2025-10-19,Debit Card
65,430,41,5,2024-11-09,Credit Card
66,12,10,5,2024-03-28,Cash
67,124,39,4,2024-05-10,Credit Card
68,168,1,10,2026-02-09,Credit Card
69,331,44,2,2025-11-01,Credit Card
70,220,10,10,2024-08-26,Net Banking
71,18,33,1,2024-07-20,Credit Card
72,309,13,4,2024-07-21,Credit Card
73,28,37,9,2024-11-27,Cash
74,276,40,6,2024-04-14,Cash
75,495,23,1,2024-12-17,UPI
76,11,41,5,2024-04-08,Debit Card
77,10,48,3,2024-11-23,Net Banking
78,399,10,10,2025-05-10,Debit Card
79,147,13,6,2024-06-06,Net Banking
80,350,33,3,2025-03-27,Net Banking
81,466,11,9,2024-04-05,Credit Card
82,343,42,5,2025-07-14,Credit Card
83,480,44,9,2024-08-10,Debit Card
84,202,3,1,2025-07-10,Credit Card
85,174,25,4,2026-01-27,Net Banking
86,100,40,6,2025-06-22,Credit Card
87,19,43,9,2025-03-23,Credit Card
88,465,39,2,2025-07-18,Cash
89,80,29,5,2025-10-13,Net Banking
90,289,3,1,2024-12-18,Debit Card
91,154,3,4,2024-04-26,Credit Card
92,222,22,10,2026-02-22,Credit Card
93,113,49,10,2026-03-03,Debit Card
94,136,42,9,2025-12-25,Credit Card
95,428,6,1,2024-05-25,Debit Card
96,111,43,1,2025-09-19,Cash
97,492,10,3,2025-04-18,Credit Card
98,394,6,5,2025-12-11,Credit Card
99,346,11,1,2026-01-10,Cash
100,183,23,1,2025-12-27,UPI
101,61,15,10,2026-01-03,Cash
102,480,26,5,2024-03-13,UPI
103,275,39,6,2024-06-25,UPI
104,167,13,6,2025-09-14,Cash
105,8,38,1,2025-09-02,Debit Card
106,259,19,5,2024-09-24,Credit Card
107,14,21,8,2025-07-27,Debit Card
108,373,3,2,2025-06-23,UPI
109,387,30,4,2025-03-19,UPI
110,249,30,1,2025-11-04,Net Banking
111,103,8,7,2024-12-14,Net Banking
112,443,30,10,2024-07-26,Cash
113,128,10,7,2024-05-11,Cash
114,33,8,4,2024-12-24,Debit Card
115,129,45,4,2025-05-25,Debit Card
116,41,49,4,2025-07-01,Credit Card
117,286,30,4,2024-06-02,UPI
118,221,8,9,2024-08-15,Debit Card
119,143,47,10,2025-01-23,Net Banking
120,40,45,4,2025-05-11,Debit Card
121,32,16,8,2025-07-08,Net Banking
122,129,25,3,2024-10-19,Cash
123,479,48,2,2024-09-24,Net Banking
124,282,19,3,2025-10-14,Cash
125,349,34,1,2026-01-29,UPI
126,297,43,9,2026-03-06,UPI
127,240,36,8,2024-04-21,Credit Card
128,149,5,8,2025-08-02,Net Banking
129,163,41,8,2025-07-26,Cash
130,42,41,7,2025-10-02,Debit Card
131,285,9,6,2025-10-14,Debit Card
132,253,24,5,2024-07-16,Net Banking
133,27,48,3,2025-07-19,Credit Card
134,450,18,1,2024-03-22,Cash
135,243,13,10,2024-10-05,Debit Card
136,132,34,1,2025-01-16,Net Banking
137,293,6,3,2026-01-17,Cash
138,243,27,2,2024-09-19,UPI
139,6,4,1,2024-05-27,Debit Card
140,498,9,1,2024-10-01,Cash
