order_id,customer_id,product_id,quantity,sale_date,payment_method
1,11,17,4,2026-01-10,Credit Card
2,396,33,5,2026-02-05,Cash
3,448,49,7,2024-08-16,Debit Card
4,289,32,1,2024-10-29,Credit Card
5,130,5,10,2026-03-03,Cash
6,101,25,10,2025-02-14,Net Banking
7,248,21,1,2025-01-03,Debit Card
8,263,39,10,2024-11-02,Credit Card
9,121,45,10,2026-02-20,Credit Card
10,40,40,6,2025-06-14,Credit Card
11,258,29,6,2024-12-30,Debit Card
12,292,32,10,2025-11-14,UPI
13,199,32,4,2025-01-18,UPI
14,153,7,10,2024-12-27,Debit Card
15,17,16,3,2024-04-22,UPI
16,130,41,4,2025-02-14,Credit Card
17,26,9,2,2024-11-28,Credit Card
18,260,19,5,2025-03-26,Net Banking
19,205,33,3,2025-12-26,Net Banking
20,194,28,4,2025-07-14,Cash
21,142,18,9,2024-08-21,UPI
22,94,46,4,2025-06-08,Credit Card
23,90,8,8,2024-05-09,Debit Card
24,410,31,4,2024-04-30,Net Banking
25,429,27,3,2025-03-28,Debit Card
26,307,10,5,2025-05-10,UPI
27,328,32,9,2025-12-03,Debit Card
28,190,5,2,2025-01-14,UPI
29,136,23,9,2024-12-10,Net Banking
30,245,24,5,2025-03-26,Net Banking
31,365,24,3,2024-06-02,UPI
32,252,46,8,2025-12-08,Debit Card
33,468,35,7,2025-09-02,Net Banking
34,145,8,7,2025-04-04,Debit Card
35,147,31,4,2025-04-12,UPI
36,16,12,8,2026-01-16,Net Banking
37,410,3,8,2025-03-30,Net Banking
38,272,15,10,2024-10-20,Net Banking
39,452,5,8,2024-11-22,Net Banking
40,492,4,2,2024-04-08,Net Banking
41,12,48,8,2025-10-04,Net Banking
42,495,6,4,2025-10-11,Cash
43,288,23,10,2025-01-23,Debit Card
44,75,6,6,2025-08-17,Credit Card
45,236,30,8,2024-04-27,Net Banking
46,284,26,7,2025-09-24,Cash
47,421,21,8,2025-08-18,Net Banking
48,218,24,7,2026-03-05,Debit Card
